CNPJ,CNPJ Formatado,?? cliente ? ,Valor da compra,Mercadoria,Zona,Vendedores,Código do cliente,Potencial de compora,Nome,Razão Social,UF,Nome Fantasia,Latitude,Longitude,Cidade,Bairro,Endereço,CEP,Tipo de Estabelecimento,Funcionários do Grupo,Total de Contatos,??ndicie de Presença Digital,??ndicie Adoção Tecnológica,Tendência de Crescimento do Grupo,Nível de Atividade,Natureza Jurídica,Porte,Total de Filiais,Cnae Principal,Data de Abertura,Faixa de Capital Social,Faturamento anual,Website,E?mail Principal,Telefone Principal,Perfil do Linkedin,Perfil do Instagram,Perfil do Facebook,Perfil do Twitter,Total,Telefone Principal,Telefone Secundário 1,Telefone Secundário 2,Telefone Secundário 3,Demais Telefones,Nome Sócio 1,Qualificação Sócio 1,Nome Sócio 2,Qualificação Sócio 2,Nome Sócio 3,Qualificação Sócio 3,Demais Sócios,E?mails Secundários,Cnae Principal,Cnae Secundário 1,Cnae Secundário 2,Cnae Secundário 3,Demais Cnaes
04213131000108,04.213.131/0001?08,não,5025,Feijão,Oeste,Jose Alves,A? 20230126,Baixo,JOSE WELLINGTON WELLINGTON,VICUNHA ACOS SA,SP,?,?23.56193,?46.67945,SAO PAULO,VILA OLIMPIA,RUA DO ROCIO,4552000,MATRIZ,?,?,?,?,ESTAVEL,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,2000?12?27,+500M,+500M,?,?,?,?,?,?,?,?,?,(11) 26200400,,,?,ARNO SCHWARZ,CONSELHEIRO DE ADMINISTRACAO,RICARDO STEINBRUCH,CONSELHEIRO DE ADMINISTRACAO,ELISABETH STEINBRUCH SCHWARZ,CONSELHEIRO DE ADMINISTRACAO,"LUIS FRANCA CAVALCA,RAFAEL GASPARELLO LIMA,BENJAMIN STEINBRUCH",?,6462?0/00,?,?,?,?
04786144000176,04.786.144/0001?76,sim,5026,Café,Norte,Taila Querido,A? 20230127,Medio,ANGELICA PACHECO,ANDRE MAGGI PARTICIPACOES SA,MT,?,?15.6014109,?56.0978917,CUIABA,ALVORADA,AVENIDA ANDRE ANTONIO MAGGI,78049080,MATRIZ,1 ? 3,448,?,?,ESTAVEL,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,2001?11?12,+500M,+500M,amaggi.com.br,juridicotributario@grupomaggi.com.br,?,?,?,?,?,?,?,(65) 36455342,(65) 36455208,,?,BRUNO MAGGI PISSOLLO,CONSELHEIRO DE ADMINISTRACAO,JULIANA DE LAVOR LOPES,DIRETOR,FABRICIO MAGGI SCHMIDT,CONSELHEIRO DE ADMINISTRACAO,"HUGO DE CARVALHO RIBEIRO,PLINIO TONIOLO SCHMIDT,NEREU BAVARESCO,LEONARDO MAGGI RIBEIRO,JUDINEY CARVALHO DE SOUZA,ANDRE SOUZA MAGGI,PEDRO JACYR BONGIOLO,DANTE POZZI,BELISA SOUZA MAGGI,WALDEMIR IVAL LOTO,LUCIA BORGES MAGGI,JOSE ANTONIO TADEU GUILHEN,ITAMAR LOCKS,SAMUEL MAGGI LOCKS,MARLI BORGES MAGGI",?,6462?0/00,?,?,?,?
02313673000127,02.313.673/0001?27,não,5027,Leite,Sul,Diogo Coelho,A? 20230128,Nulo,PEDRO PAULO AYRES PINTO,AGENCIA NACIONAL DO PETROLEO GAS NATURAL E BIOCOMBUSTIVEIS,DF,AGENCIA NACIONAL DO PETROLEO,?,?,BRASILIA,ASA NORTE,? SGAN QUADRA,70830030,MATRIZ,?,181,75,94,?,ALTA,AUTARQUIA FEDERAL,DEMAIS,1,8411600,1998?01?12,?,+500M,anp.gov.br,?,?,?,?,?,?,?,?,(61) 34265101,,,?,?,?,?,?,?,?,?,?,8411?6/00,?,?,?,?
17155730000164,17.155.730/0001?64,sim,5028,Pão,Leste,Lucas Soares,A? 20230129,sem informação,DANUZIA LIMA,COMPANHIA ENERGETICA DE MINAS GERAISCEMIG,MG,EST UNIF,?19.92098,?43.95494,BELO HORIZONTE,SANTO AGOSTINHO,AVENIDA BARBACENA,30190924,MATRIZ,51 ? 200,21108,100,100,EM CRESCIMENTO,ALTA,SOCIEDADE DE ECONOMIA MISTA,DEMAIS,5,3514000,1952?05?27,+500M,+500M,cemig.com.br,ediramos@cemig.com.br,?,?,?,?,?,?,(31) 35065024,(31) 35067500,,,?,THADEU CARNEIRO DA SILVA,DIRETOR,LEONARDO GEORGE DE MAGALHAES,DIRETOR,REYNALDO PASSANEZI FILHO,PRESIDENTE,"DIMAS COSTA,MARNEY TADEU ANTUNES,MARCO DA CAMINO ANCONA LOPEZ SOLIGO,HENRIQUE MOTTA PINTO",?,3514?0/00,CONSTRUCAO DE ESTACOES E REDES DE DISTRIBUICAO DE ENERGIA ELETRICA,DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS,OUTRAS ATIVIDADES DE TELECOMUNICACOES NAO ESPECIFICADAS ANTERIORMENTE,"SUPORTE TECNICO MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO,COMERCIO ATACADISTA DE ENERGIA ELETRICA,PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIENCIAS FISICAS E NATURAIS,SERVICOS DE REDES DE TRANSPORTES DE TELECOMUNICACOES  SRTT,TRANSMISSAO DE ENERGIA ELETRICA,GERACAO DE ENERGIA ELETRICA,SERVICOS DE ENGENHARIA,CONSULTORIA EM TECNOLOGIA DA INFORMACAO,ATIVIDADES DE COORDENACAO E CONTRO"
01832635000118,01.832.635/0001?18,não,5029,Milho,Oeste,Arthur Parahyba,A? 20230130,Sem contato,RAIMUNDO BARCELOS,TAM SA,SP,?,?23.637676,?46.66652,SAO PAULO,JARDIM BRASIL ZONA SUL,RUA ATICA,4634042,MATRIZ,?,?,?,?,EM DECLINIO,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,1997?05?16,+500M,+500M,?,?,?,?,?,?,?,?,?,(11) 950357319,(11) 950357339,,?,FLAVIA TURCI,CONSELHEIRO DE ADMINISTRACAO,SONIA JULIA SULZBECK VILLALOBOS,CONSELHEIRO DE ADMINISTRACAO,JEROME PAUL JACQUES CADIER,PRESIDENTE,"HENRI PHILIPPE REICHSTUL,MAURICIO ROLIM AMARO,FELIPE IGNACIO PUMARINO MENDOZA,JEFFERSON CESTARI",?,6462?0/00,?,?,?,?
24990777000109,24.990.777/0001?09,sim,5030,Ervilha,Norte,Jose Alves,A? 20230131,Alto,WALDECY LIRA,GRUPO MATEUS SA,MA,GRUPO MATEUS,?2.51412,?44.24508,SAO LUIS,COHAMA,AVENIDA DANIEL DE LA TOUCHE,65074115,MATRIZ,1 ? 3,?,?,?,?,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,2016?06?13,+500M,+500M,grupomateus.com.br,contabilidade@armateus.com.br,?,?,?,?,?,?,?,(98) 21083582,,,?,JESUINO MARTINS BORGES FILHO,PRESIDENTE,TULIO JOSE PITOL DE QUEIROZ,DIRETOR,ILSON MATEUS RODRIGUES,CONSELHEIRO DE ADMINISTRACAO,"ILSON MATEUS RODRIGUES JUNIOR,ILTON CARLOS MATEUS RODRIGUES",?,6462?0/00,?,?,?,?
07415333000120,07.415.333/0001?20,não,5031,Lactobacilos vivos,Sul,Taila Querido,A? 20230132,Baixo,WOLLASSY RAMOS,SIMPAR SA,SP,SIMPAR,?23.58141,?46.67447,SAO PAULO,ITAIM BIBI,RUA DOUTOR RENATO PAES DE BARROS,4530001,MATRIZ,4 ?15,625,?,?,EM DECLINIO,ALTA,SOCIEDADE ANONIMA ABERTA,DEMAIS,1,6462000,2005?06?03,+500M,+500M,simpar.com.br,roberta.tartaglia@simpar.com.br,?,?,?,?,?,?,?,(11) 23777043,,,?,DENYS MARC FERREZ,DIRETOR,SAMIR MOISES GILIO FERREIRA,DIRETOR,ANTONIO DA SILVA BARRETO JUNIOR,DIRETOR,"ADALBERTO CALIL,AUGUSTO MARQUES DA CRUZ FILHO,FERNANDO ANTONIO SIMOES FILHO,FERNANDO ANTONIO SIMOES,ALVARO PEREIRA NOVIS",?,6462?0/00,?,?,?,?
28253169000172,28.253.169/0001?72,sim,5032,Arroz,Leste,Diogo Coelho,A? 20230133,Medio,JADER ZILE,UNIAO NACIONAL DE ASSISTENCIA AOS SERVIDORES PUBLICOS,RJ,UNASP,?22.90826,?43177,RIO DE JANEIRO,CENTRO,AVENIDA ALMIRANTE BARROSO,20031003,MATRIZ,?,?,?,?,ESTAVEL,ALTA,ASSOCIACAO PRIVADA,DEMAIS,0,9430800,1983?07?13,?,+500M,unaspbrasil.org.br,unasp.maria@gmail.com,?,?,?,?,?,?,?,(21) 25188273,(21) 31725040,,?,SANDRA CRISTINA CARDINOT CAMPOS HILARIO,DIRETOR,KATIA MARIA MOREIRA SIMEN PEREIRA,DIRETOR,,,?,unaspbrasil@yahoo.com.br,9430?8/00,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,EMISSAO DE VALESALIMENTACAO VALESTRANSPORTE E SIMILARES,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE,?
09007935000174,09.007.935/0001?74,não,5033,Feijão,Oeste,Lucas Soares,A? 20230134,Nulo,ADRIANA LESSA,MAPFRE BRASIL PARTICIPACOES SA,SP,?,?23.6002641,?46.6947028,SAO PAULO,BROOKLIN PAULISTA,AVENIDA DAS NACOES UNIDAS,4578000,MATRIZ,4 ?15,?,?,?,EM DECLINIO,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,2007?06?20,+500M,+500M,?,?,?,?,?,?,?,?,?,(11) 26635279,,,?,TIAGO DE FREITAS VIEIRA,DIRETOR,ANTONIO CLEMENTE CAMPANARIO,DIRETOR,JULIEN CLAUSSE,DIRETOR,"FERNANDO PEREZ SERRABONA GARCIA,JUAN CARLOS LANAU ARILLA,FELIPE COSTA DA SILVEIRA NASCIMENTO,SIDNEY RODRIGUES,IVAN PARASKEVOPOULOS SILVA",?,6462?0/00,?,?,?,?
76483817000120,76.483.817/0001?20,sim,5034,Café,Norte,Arthur Parahyba,A? 20230135,sem informação,MICHELE FERNANDA,COMPANHIA PARANAENSE DE ENERGIA,PR,COPEL,?25.4373238,?49.3409573,CURITIBA,ORLEANS,RUA JOSE IZIDORO BIAZETTO,81200240,MATRIZ,51 ? 200,621,?,?,EM DECLINIO,ALTA,SOCIEDADE DE ECONOMIA MISTA,DEMAIS,1,6462000,1966?08?03,+500M,+500M,copel.com,copel@copel.com,41033314141,?,?,?,?,?,?,(41) 33223535,(41) 33314141,,?,VICENTE LOIACONO NETO,DIRETOR,MARCEL MARTINS MALCZEWSKI,CONSELHEIRO DE ADMINISTRACAO,GUSTAVO BONINI GUEDES,CONSELHEIRO DE ADMINISTRACAO,"EDUARDO VIEIRA DE SOUZA BARBOSA,MARCO ANTONIO BOLOGNA,ANA LETICIA FELLER,LEILA ABRAHAM LORIA,FAUSTO AUGUSTO DE SOUZA,CASSIO SANTANA DA SILVA,ANDRIEI JOSE BEBER,CARLOS BIEDERMANN,DAVID CAMPOS,MARCO ANTONIO BARBOSA CANDIDO,DANIEL PIMENTEL SLAVIERO,ADRIANO RUDEK DE MOURA",?,6462?0/00,?,?,?,?
32695147000130,32.695.147/0001?30,não,5035,Leite,Sul,Jose Alves,A? 20230136,Sem contato,CARLA RUAS RABELO,EQUATORIAL ENERGIA DISTRIBUICAO SA,MA,?,?2.5633091,?44.317573,SAO LUIS,ANJO DA GUARDA,AVENIDA DOS PORTUGUESES,65085581,MATRIZ,?,1512,?,?,?,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,2019?02?07,+500M,+500M,equatorialenergia.com.br,ld.cartao.cnpj@equatorialenergia.com.br,?,?,?,?,?,?,?,(98) 32172220,,,?,AUGUSTO MIRANDA DA PAZ JUNIOR,PRESIDENTE,SERVIO TULIO DOS SANTOS,DIRETOR,HUMBERTO LUIS QUEIROZ NOGUEIRA,DIRETOR,"JOSE SILVA SOBRAL NETO,TINN FREIRE AMADO,LEONARDO DA SILVA LUCAS TAVARES DE LIMA",?,6462?0/00,?,?,?,?
07198897000159,07.198.897/0001?59,sim,5036,Pão,Leste,Taila Querido,A? 20230137,Alto,JOSE SOUSA,AGUASSANTA PARTICIPACOES SA,SP,?,?23.57304,?46.68957,SAO PAULO,ITAIM BIBI,AVENIDA BRIGADEIRO FARIA LIMA,4538132,MATRIZ,4 ?15,19,?,54,EM CRESCIMENTO,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,1,6462000,2005?01?06,+500M,+500M,reservajequitiba.com.br,deise.galoni@aguassanta.com.br,?,?,?,?,?,?,?,(19) 21054450,,,?,BURKHARD OTTO CORDES,DIRETOR,CELSO RENATO GERALDIN,DIRETOR,RUBENS OMETTO SILVEIRA MELLO,PRESIDENTE,?,sergiocorrer@aguassanta.com.br,6462?0/00,GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA,ALUGUEL DE IMOVEIS PROPRIOS,,?
03983431000103,03.983.431/0001?03,não,5037,Milho,Oeste,Diogo Coelho,A? 20230138,Baixo,DAMIAN BORGOBELLO,EDP  ENERGIAS DO BRASIL SA,SP,EDP,?23.51263,?46.70931,SAO PAULO,LAPA DE BAIXO,RUA WERNER VON SIEMENS,5069900,MATRIZ,201 ? 500,18,75,91,EM CRESCIMENTO,ALTA,SOCIEDADE ANONIMA ABERTA,DEMAIS,1,6462000,2000?07?24,+500M,+500M,edp.com.br,cadastrofiscal@edpbr.com.br,11021855045,http://www.linkedin.com/company/73892,?,?,?,?,?,(11) 21855199,(11) 21855045,,?,CARLOS EMANUEL BAPTISTA ANDRADE,DIRETOR,LUIZ OTAVIO ASSIS HENRIQUES,DIRETOR,JOAO MANUEL VERISSIMO MARQUES DA CRUZ,PRESIDENTE,"FERNANDA NASCIMENTO PIRES CARSUGHI,HENRIQUE MANUEL MARQUES FARIA LIMA FREIRE",?,6462?0/00,?,?,?,?
00394460000141,00.394.460/0001?41,sim,5038,Ervilha,Norte,Lucas Soares,A? 20230139,Medio,CAMILLE LORRANE,MINISTERIO DA FAZENDA,DF,?,?15.7974,?47.87468,BRASILIA,ZONA CIVICO ADMINISTRATIVA,ESPLANADA DOS MINISTERIOS BLOCO P 5ANDAR,70048900,MATRIZ,?,2861,75,82,?,ALTA,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,DEMAIS,478,8411600,1974?11?29,?,+500M,planejamento.gov.br,cnpj.df.spoa@fazenda.gov.br,61020215158,http://www.linkedin.com/company/1132313,?,?,?,?,?,(61) 20215015,(61) 20215158,,?,?,?,?,?,?,?,?,cnpj.df.spoa@fazenda.gov.br,8411?6/00,?,?,?,?
03353358000196,03.353.358/0001?96,não,5039,Lactobacilos vivos,Sul,Arthur Parahyba,A? 20230140,Nulo,LETICIA OLIVEIRA BARBOSA,MINISTERIO DO DESENVOLVIMENTO REGIONAL,DF,MINISTERIO DO DESENVOLVIMENTO REGIONAL,?15.788787,?47.893356,BRASILIA,ESPLANADA,ESPLANADA DOS MINISTERIOS,70062900,MATRIZ,501 ? 1.000,279,?,80,?,ALTA,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,DEMAIS,4,8411600,1999?08?24,?,+500M,mdr.gov.br,contabilidade@integracao.gov.br,61020345210,?,?,?,?,?,?,(61) 20345210,(61) 20345981,,?,?,?,?,?,?,?,?,perlafc@mog.gov.br,8411?6/00,?,?,?,?
05197443000138,05.197.443/0001?38,sim,5040,Arroz,Leste,Jose Alves,A? 20230141,sem informação,MARIA MACEDO,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,CE,?,?3.73484,?38.52043,FORTALEZA,CENTRO,AVENIDA HERACLITO GRACA,60140060,MATRIZ,?,?,?,?,ESTAVEL,ALTA,SOCIEDADE ANONIMA ABERTA,DEMAIS,2,6462000,2001?09?21,+500M,+500M,?,?,?,?,?,?,?,?,?,?,?,?,?,IGOR XAVIER CORREIA LIMA,CONSELHEIRO DE ADMINISTRACAO,JORGE FONTOURA PINHEIRO KOREN DE LIMA,DIRETOR,ALBERTO SERRENTINO,CONSELHEIRO DE ADMINISTRACAO,"CANDIDO PINHEIRO KOREN DE LIMA,IRLAU MACHADO FILHO,ALAIN BENVENUTI,MAURICIO FERNANDES TEIXEIRA,MICHEL DAVID FREUND",?,6462?0/00,ATIVIDADES DE APOIO A GESTAO DE SAUDE,ATIVIDADES DE TERAPIA OCUPACIONAL,SERVICOS DE DIAGNOSTICO POR IMAGEM SEM USO DE RADIACAO IONIZANTE EXCETO RESSONANCIA MAGNETICA,"ATIVIDADES DE ASSISTENCIA PSICOSSOCIAL E A SAUDE A PORTADORES DE DISTURBIOS PSIQUICOS DEFICIENCIA MENTAL E DEPENDENCIA QUIMICA E GRUPOS SIMILARES NAO,SERVICOS DE DIALISE E NEFROLOGIA,ATIVIDADES DE ATENDIMENTO HOSPITALAR EXCETO PRONTOSOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS,ATIVIDADE ODONTOLOGICA,ATIVIDADES DE PRATICAS INTEGRATIVAS E COMPLEMENTARES EM SAUDE HUMANA,SERVICOS COMBINADOS DE ESCR"
05448380000145,05.448.380/0001?45,não,5041,Feijão,Oeste,Taila Querido,A? 20230142,Sem contato,BETINHA HSANTA,FUNDO CONSTITUCIONAL DO DISTRITO FEDERAL  FCDF,DF,?,?15.78592,?47.91041,BRASILIA,BRASILIA,? ANEXO DO PALACIO DO BURITI ANDAR,70070500,MATRIZ,?,?,?,?,?,BAIXA,FUNDO PUBLICO DA ADMINISTRACAO DIRETA FEDERAL,DEMAIS,0,8411600,2002?12?30,?,+500M,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8411?6/00,?,?,?,?
08803085000158,08.803.085/0001?58,sim,5042,Café,Norte,Diogo Coelho,A? 20230143,Alto,GABRIELLA ALBUQUERQUE,VDQ HOLDINGS SA,SP,?,?20.5647848,?48.5694945,BARRETOS,MELO,RUA 28,14780110,MATRIZ,?,6,?,58,ESTAVEL,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,2007?05?04,R$5M ? R$20M,+500M,vdqholdings.com.br,fiscal@minerva.ind.br,17033213343,?,?,?,?,?,?,(17) 33213343,(17) 33213355,,?,IZONEL VILELA DE QUEIROZ,ADMINISTRADOR,CLERTON SILVA QUEIROZ,DIRETOR,CRISTIANO CAMPOZANA DE QUEIROZ,DIRETOR,"EDIVAR VILELA DE QUEIROZ,ISMAEL VILELA DE QUEIROZ,FREDERICO ALCANTARA DE QUEIROZ,EDUARDO SCANNAVINO DE QUEIROZ,FERNANDO GALLETTI DE QUEIROZ,ISABEL CRISTINA DE ALCANTARA QUEIROZ,REGINA CELIA SCANNAVINO DE QUEIROZ,NORBERTO LANZARA GIANGRANDE JUNIOR,IBAR VILELA DE QUEIROZ,RAFAEL VICENTINI DE QUEIROZ",?,6462?0/00,?,?,?,?
00394411000109,00.394.411/0001?09,não,5043,Leite,Sul,Lucas Soares,A? 20230144,Baixo,GESSE CELESTINO,PRESIDENCIA DA REPUBLICA,DF,SECRETARIA DE ADMINISTRACAO DA PRESIDENCIA DA REPUBLICA,?15.79993,?47.86172,BRASILIA,EIXO MONUMENTAL,PRACA DOS TRES PODERES,70100000,MATRIZ,1.001 ? 5.000,1072,75,80,?,ALTA,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,DEMAIS,2,8411600,1974?11?29,?,+500M,planalto.gov.br,?,?,http://www.linkedin.com/company/1691592,?,?,?,?,?,(61) 34113274,,,?,?,?,?,?,?,?,?,?,8411?6/00,?,?,?,?
42150391000170,42.150.391/0001?70,sim,5044,Pão,Leste,Arthur Parahyba,A? 20230145,Medio,KLEITON NUNES,BRASKEM SA,BA,BRASKEM,?12.6612718,?38.3165416,CAMACARI,POLO INDUSTRIAL DE CAMACARI,RUA ETENO,42816200,MATRIZ,501 ? 1.000,33829,?,?,EM CRESCIMENTO,ALTA,SOCIEDADE ANONIMA ABERTA,DEMAIS,38,2021500,1973?03?12,+500M,+500M,braskem.com.br,cadastroempresas@braskem.com,?,?,?,?,?,?,?,(71) 35047100,,,?,ROBERTO FALDINI,CONSELHEIRO DE ADMINISTRACAO,EDISON TERRA FILHO,DIRETOR,ROBERTO BISCHOFF,PRESIDENTE,"HECTOR NUNEZ,JULIANA SA VIEIRA BAIARDI,MARCELO ARANTES DE CARVALHO,JOSE LUIS BRINGEL VIDAL,EDUARDO BACELLAR LEAL FERREIRA,JOSE MAURO METTRAU CARNEIRO DA CUNHA,DANIEL SALES CORREA,JOAO PINHEIRO NOGUEIRA BATISTA,PEDRO VAN LANGENDONCK TEIXEIRA DE FREITAS,MARCELO DE OLIVEIRA CERQUEIRA,MARCELO KLUJSZA,GESNER JOSE DE OLIVEIRA FILHO,CHARLES LENZI",?,2021?5/00,COMERCIO ATACADISTA DE OUTROS PRODUTOS QUIMICOS E PETROQUIMICOS NAO ESPECIFICADOS ANTERIORMENTE,HOLDINGS DE INSTITUICOES NAOFINANCEIRAS,FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA USOS INDUSTRIAIS,"PRODUCAO E DISTRIBUICAO DE VAPOR AGUA QUENTE E AR CONDICIONADO,CARGA E DESCARGA,COMERCIO ATACADISTA DE ALCOOL CARBURANTE BIODIESEL GASOLINA E DEMAIS DERIVADOS DE PETROLEO EXCETO LUBRIFICANTES NAO REALIZADO POR TRANSPORTADOR RE,COMERCIO ATACADISTA DE RESINAS E ELASTOMEROS,TRANSPORTE MARITIMO DE CABOTAGEM  CARGA,TESTES E ANALISES TECNICAS,ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUST"
09305994000129,09.305.994/0001?29,não,5045,Milho,Oeste,Jose Alves,A? 20230146,Nulo,GABRIEL APARECIDO DE OLIVEIRA TEIXEIRA,AZUL SA,SP,?,?23.48481,?46.83589,BARUERI,TAMBORE,AVENIDA MARCOS PENTEADO DE ULHOA RODRIGUES,6460040,MATRIZ,1 ? 3,?,?,?,ESTAVEL,ALTA,SOCIEDADE ANONIMA ABERTA,DEMAIS,0,6462000,2008?01?16,+500M,+500M,voeazul.com.br,tributario@voeazul.com.br,?,?,?,?,?,?,?,(11) 41349800,,,?,JOHN PETER RODGERSON,PRESIDENTE,ANTONIO FLAVIO TORRES MARTINS COSTA,DIRETOR,ABHI MANOJ SHAH,DIRETOR,ALEXANDRE WAGNER MALFITANI,?,6462?0/00,?,?,?,?
43149806000159,43.149.806/0001?59,sim,5046,Ervilha,Norte,Taila Querido,A? 20230147,sem informação,PAULA SOUZA,HONDA SOUTH AMERICA LTDA,SP,?,?22.8311,?47.20323,SUMARE,PARQUE SANTO ANTONIO NOVA VENEZA,ESTRADA NCIO CALEGARI 777,13181903,MATRIZ,?,18,?,?,ESTAVEL,ALTA,SOCIEDADE EMPRESARIA LIMITADA,DEMAIS,0,6461100,1971?10?29,R$100M ? R$500M,+500M,bancohonda.com.br,honda@honda.com.br,11082638814,?,?,?,?,?,?,(11) 982638814,(19) 38647509,(19) 982638814,(11) 38647509,ROBERTO YOSHIO AKIYAMA,ADMINISTRADOR,MASAICHI KOBAYASHI,SOCIO ADMINISTRADOR,ATSUSHI FUJIMOTO,SOCIO ADMINISTRADOR,HONDA MOTOR CO LTD,?,6461?1/00,HOLDINGS DE INSTITUICOES NAOFINANCEIRAS,,,?
09458121000156,09.458.121/0001?56,não,5047,Lactobacilos vivos,Sul,Diogo Coelho,A? 20230148,Sem contato,MARIA CARLA,INSTITUTO EDP ENERGIAS DO BRASIL,SP,INSTITUTO EDP,?23.59498,?46.68957,SAO PAULO,VILA OLIMPIA,RUA GOMES DE CARVALHO,4547006,MATRIZ,4 ?15,137,?,?,ESTAVEL,ALTA,ASSOCIACAO PRIVADA,DEMAIS,0,9499500,2007?12?10,?,+500M,edp.com.br,cadastrofiscal@edpbr.com.br,11021855000,?,?,?,?,?,?,(11) 21855010,(11) 21855000,,?,PAULO ALEXANDRE PIRES DE CAMPOS COSTA,DIRETOR,MIGUEL NUNO SIMOES NUNES FERREIRA SETAS,DIRETOR,PEDRO MIGUEL DE ALMEIDA GOMES ANTUNES SIRGADO,DIRETOR,"MICHEL NUNES ITKES,LUIS CARLOS GOUVEIA PEREIRA",cleuzi.santos@edpbr.com.br,9499?5/00,?,?,?,?
03953638000135,03.953.638/0001?35,sim,5048,Arroz,Leste,Lucas Soares,A? 20230149,Alto,WEMERSON APARECIDO DA SILVA FERREIRA,ORGANIZACOES GLOBO PARTICIPACOES SA,RJ,?,?22.96438,?43.22096,RIO DE JANEIRO,JARDIM BOTANICO,RUA LOPES QUINTAS,22460010,MATRIZ,?,?,?,26,ESTAVEL,ALTA,SOCIEDADE ANONIMA FECHADA,DEMAIS,0,6462000,2000?07?13,+500M,+500M,ouvidoriagrupoglobo.com.br,?,?,?,?,?,?,?,?,(21) 22522500,(21) 21299065,,?,JOAO ROBERTO MARINHO,DIRETOR,ROBERTO MARINHO NETO,DIRETOR,,,?,?,6462?0/00,?,?,?,?
03220438000254,03.220.438/0002?54,não,5049,Feijão,Oeste,Arthur Parahyba,A? 20230150,Baixo,RENATO GARCIA,EQUATORIAL ENERGIA SA,DF,?,?15.78806,?47.88245,BRASILIA,ASA SUL,QUADRA ST SCSB QUADRA 9,70308200,FILIAL,4 ?15,4360,?,?,EM DECLINIO,ALTA,SOCIEDADE ANONIMA ABERTA,DEMAIS,2,6462000,2008?04?09,+500M,+500M,?,rodolfo.siqueira@equatorialenergia.com.br,?,?,?,?,?,?,?,(98) 32172351,,,?,ANDRE LUIZ BARATA PESSOA,DIRETOR,LEONARDO DA SILVA LUCAS TAVARES DE LIMA,DIRETOR,MAURICIO ALVARES DA SILVA VELLOSO FERREIRA,DIRETOR,"HUMBERTO LUIS QUEIROZ NOGUEIRA,CRISTIANO DE LIMA LOGRADO,GUILHERME MEXIAS ACHE,PAULO JERONIMO BANDEIRA DE MELLO PEDROSA,TIAGO DE ALMEIDA NOEL,TANIA SZTAMFATER CHOCOLAT,CARLOS AUGUSTO LEONE PIANI,JOSE SILVA SOBRAL NETO,BRUNO CAVALCANTI COELHO,KARLA BERTOCCO TRINDADE,LUIS HENRIQUE DE MOURA GONCALVES,MARCOS ANTONIO SOUZA DE ALMEIDA,EDUARDO HAIAMA,AUGUSTO MIRANDA DA PAZ JUNIOR",?,?,?,?,?,?
